gene_symbol	loeuf_v4	xgb_diff	xgb_percentile	cis_percentile	xgb_pred	cis_original	articles_found	is_ndd	has_gencc_support	is_embryonic_lethal_mouse	is_fertility_mouse	testis_pct	blood_pct	ovary_pct	testis_specific	ovary_specific	fetal_median_expr	fetal_high_expr	gtex_median_expr
HIF1A	0.3764	37.4	97.0	59.6	0.22	0.02	50	False	False	True	False	92.4	98.1	96.2	False	False	157.94	True	53.71
ZNF608	0.1839	36.8	99.0	62.2	0.3	0.02	10	False	False	False	False	80.6	78.5	81.4	False	False	196.78	True	6.38
MSI2	0.5258	36.6	97.9	61.3	0.24	0.02	50	False	False	True	False	85.8	84.8	96.5	False	True	494.7	True	16.02
SMARCD3	0.3416	36.5	98.0	61.5	0.24	0.02	28	False	False	True	False	92.0	95.2	96.9	False	False	1.9	False	39.54
RXRA	0.1852	36.0	96.1	60.1	0.2	0.02	50	False	False	True	False	81.8	97.5	92.7	False	False	47.04	False	25.85
MEIS1	0.1367	35.9	99.9	64.0	0.46	0.02	50	False	False	True	False	68.6	70.4	94.1	False	False	254.66	True	7.53
ARHGEF2	0.2604	35.6	96.1	60.5	0.2	0.02	26	False	False	False	False	92.9	97.7	91.0	False	False	63.05	False	31.42
MAT2A	0.2177	35.6	96.6	61.0	0.21	0.02	50	False	False	True	False	99.2	94.7	99.2	True	True	7.68	False	167.77
ELAVL3	0.4851	35.4	99.6	64.2	0.37	0.02	50	False	False	False	False	60.8	60.2	50.7	False	False	10.02	False	0.15
SF3A1	0.2309	35.3	99.6	64.3	0.37	0.02	18	False	False	False	False	98.2	97.4	97.9	False	False	37.88	False	57.54
RAB2A	0.5134	35.2	98.1	63.0	0.25	0.02	23	False	False	True	False	93.4	94.1	95.0	False	True	192.39	True	52.22
OSR1	0.2044	35.2	96.3	61.2	0.2	0.02	50	False	False	False	False	80.7	60.9	82.5	False	False	0.03	False	7.53
USP24	0.3167	35.1	96.1	60.9	0.2	0.02	13	False	False	False	False	82.9	88.3	90.7	False	False	142.51	True	18.78
TOP2A	0.5226	34.8	97.1	62.3	0.22	0.02	50	False	False	True	False	96.9	79.2	61.2	True	False	121.86	False	0.5
CXXC4	0.5483	34.4	96.4	62.0	0.2	0.02	11	False	False	False	False	69.4	56.9	75.5	False	False	25.66	False	1.55
TUBA3C	1.4302	34.4	97.9	63.5	0.24	0.02	4	False	False	False	False	99.9	27.9	49.8	True	False	0.0	False	0.02
ADCY2	0.2885	34.2	98.5	64.4	0.27	0.03	42	False	False	False	False	69.8	57.1	77.3	False	False	81.98	False	3.78
DCLK1	0.2812	33.7	98.7	65.1	0.28	0.03	50	False	False	False	False	54.0	57.2	78.7	False	False	77.32	False	5.68
POU2F2	0.3025	33.5	95.1	61.6	0.18	0.02	21	False	False	False	False	73.7	91.9	66.1	False	False	30.95	False	1.63
NR2C2	0.1891	33.3	98.2	64.9	0.25	0.03	20	False	False	False	True	87.2	88.5	92.1	False	False	43.53	False	19.54
CREB1	0.1423	32.4	97.9	65.5	0.24	0.03	50	False	False	False	False	85.1	88.7	85.5	False	False	147.59	True	10.47
ARNTL	0.2032	32.0	99.2	67.2	0.32	0.03	50	False	False	False	False	84.2	93.6	92.6	False	False		False	17.86
NCAM1	0.1535	31.9	97.5	65.6	0.23	0.03	50	False	False	False	False	70.7	77.7	94.7	False	False	300.53	True	22.99
INO80	0.1497	31.9	98.1	66.3	0.25	0.03	50	False	False	True	False	85.4	87.0	89.1	False	False	126.67	False	16.77
CAMKV	0.2402	31.9	95.7	63.9	0.19	0.02	19	False	False	False	False	70.8	58.9	47.5	False	False	2.32	False	0.06
G3BP2	0.3195	31.6	98.6	67.0	0.27	0.03	24	False	False	True	False	94.1	92.6	92.5	False	False	106.76	False	34.27
FYN	0.339	31.6	99.7	68.1	0.4	0.04	50	False	False	True	False	85.0	95.6	90.8	False	False	223.17	True	32.93
PPP2R5E	0.1968	31.5	95.6	64.1	0.19	0.02	17	False	False	False	False	82.2	86.3	86.1	False	False	217.77	True	13.46
RFX2	0.2687	31.2	95.5	64.3	0.19	0.02	43	False	False	False	False	96.6	90.7	80.1	True	False	65.67	False	3.79
TUBB6	1.0733	31.1	97.1	66.0	0.22	0.03	23	False	False	False	False	90.5	85.4	96.4	False	True	6.24	False	39.17
TTC28	0.3473	31.1	98.3	67.2	0.26	0.03	24	False	False	False	False	82.8	64.9	89.9	False	False	554.76	True	4.96
PCDH1	0.3021	31.0	95.2	64.2	0.18	0.02	30	False	False	False	False	63.3	75.6	73.7	False	False	7.62	False	13.0
NOL4	0.3038	31.0	97.4	66.4	0.23	0.03	5	False	False	False	False	80.4	27.9	47.0	False	False	23.89	False	0.11
ELAVL2	0.3614	30.8	98.5	67.7	0.27	0.03	37	False	False	True	False	87.1	27.9	63.4	False	False	24.35	False	0.12
MAPK10	0.5706	30.7	99.1	68.4	0.31	0.04	50	False	False	False	False	76.2	58.6	78.7	False	False	218.5	True	3.81
CNR1		30.5	95.4	64.9	0.18	0.03	50	False	False	True	False	60.1	67.9	74.1	False	False	4.67	False	6.3
PBX3	0.455	30.4	96.5	66.1	0.21	0.03	50	False	False	True	False	82.3	86.9	97.7	False	True	230.78	True	15.34
GRAMD1B	0.425	30.0	95.8	65.8	0.19	0.03	17	False	False	False	False	81.7	77.6	82.8	False	False	25.71	False	1.44
XPO7	0.1706	29.9	96.8	66.9	0.21	0.03	15	False	False	False	False	95.4	93.6	95.1	True	True	98.49	False	29.68
CHRM2	2.7006	29.8	96.7	67.0	0.21	0.03	50	False	False	False	False	49.7	27.9	48.5	False	False	0.0	False	0.13
DGKI	0.458	29.5	95.7	66.2	0.19	0.03	17	False	False	False	False	50.5	56.2	49.6	False	False	0.07	False	0.33
MED1	0.3491	29.2	95.6	66.4	0.19	0.03	50	False	False	True	False	81.9	85.0	84.9	False	False	57.84	False	9.91
INTS6	0.2465	29.2	99.2	70.0	0.31	0.04	14	False	False	False	False	80.6	83.0	77.7	False	False	1.5	False	3.15
ANKHD1	0.1607	29.1	95.8	66.7	0.19	0.03	11	False	False	False	False	92.9	95.0	96.0	False	False	247.31	True	37.96
PPP3CB	0.3013	28.9	97.0	68.1	0.22	0.04	22	False	False	False	False	89.8	90.8	94.7	False	False	6.15	False	30.39
CADPS	0.3298	28.8	98.2	69.4	0.25	0.04	20	False	False	False	False	69.1	56.5	69.5	False	False	45.67	False	0.67
DENND2B	0.3335	28.6	96.0	67.3	0.19	0.03	3	False	False	False	False	87.2	64.4	92.4	False	False	118.88	False	8.71
PTK2	0.4624	28.5	97.6	69.0	0.23	0.04	50	False	False	False	False	88.8	74.2	88.3	False	False	561.53	True	18.29
YTHDC1	0.1595	28.5	95.6	67.1	0.19	0.03	50	False	False	False	False	91.9	92.9	96.4	False	True	102.36	False	31.71
TNS1	0.3682	28.5	95.2	66.7	0.18	0.03	39	False	False	False	False	93.1	90.8	98.7	False	True	65.81	False	62.04
PABPC1	0.1334	28.5	98.9	70.4	0.3	0.04	50	False	False	False	False	99.8	99.6	99.7	False	False	630.19	True	338.14
BIRC6	0.2325	28.4	95.6	67.2	0.19	0.03	30	False	False	True	False	86.2	85.8	88.7	False	False	0.0	False	14.74
HIPK1	0.3699	28.2	95.3	67.1	0.18	0.03	36	False	False	False	False	94.0	94.5	91.0	False	False	46.93	False	20.86
TNRC6A	0.2331	28.1	99.3	71.1	0.33	0.05	36	False	False	False	False	87.7	84.4	94.7	False	False	254.45	True	23.93
LDB2	0.4763	27.9	97.2	69.2	0.22	0.04	30	False	False	False	False	72.9	69.4	87.5	False	False	362.95	True	12.24
RGS7	0.3765	27.7	98.8	71.2	0.29	0.05	50	False	False	False	False	78.1	59.7	63.5	False	False	0.0	False	0.12
RUVBL2	0.2425	27.1	97.5	70.4	0.23	0.04	39	False	False	True	False	99.7	92.7	94.1	True	False	37.06	False	35.48
CNOT4	0.1678	26.9	96.7	69.8	0.21	0.04	19	False	False	True	False	82.3	83.7	83.8	False	False	147.15	True	8.21
AP2A2	0.3076	26.8	96.8	70.0	0.21	0.04	16	False	False	False	False	93.9	93.0	93.9	False	False	80.23	False	37.91
SUPT6H	0.1187	26.3	95.7	69.4	0.19	0.04	7	False	False	False	False	94.8	96.2	96.6	False	False	76.45	False	53.6
YTHDF2	0.1763	26.3	95.4	69.1	0.18	0.04	50	False	False	False	True	94.0	93.2	93.6	False	False	0.43	False	32.58
BCL9L	0.2232	26.1	96.9	70.7	0.21	0.05	29	False	False	False	False	79.2	87.1	94.6	False	False	38.47	False	24.76
RBBP4	0.1548	26.1	96.6	70.5	0.21	0.04	50	False	False	True	False	96.8	92.5	96.1	True	True	131.5	False	36.79
EBF2	0.4137	25.6	95.5	69.9	0.19	0.04	50	False	False	False	False	56.2	56.8	56.8	False	False	13.85	False	0.85
RPTOR	0.1343	25.3	97.2	71.9	0.22	0.05	50	False	False	True	False	80.8	82.9	83.6	False	False	109.23	False	9.76
WIZ	0.1831	25.2	95.3	70.1	0.18	0.04	14	False	False	True	False	95.0	88.6	92.3	True	False	16.98	False	21.96
TRIM33	0.2549	25.1	96.4	71.3	0.2	0.05	49	False	False	True	False	89.0	88.4	89.1	False	False	189.81	True	13.9
PTPRS	0.2782	25.1	96.4	71.4	0.2	0.05	47	False	False	True	False	84.8	70.1	95.2	False	True	116.44	False	23.19
PTPRK	0.49	25.0	97.7	72.6	0.24	0.05	50	False	False	False	False	64.3	65.7	86.9	False	False	496.54	True	12.3
ATP5F1B	0.6536	25.0	95.6	70.7	0.19	0.05	16	False	False	True	False	99.8	99.4	99.5	False	False	92.09	False	443.88
