Approved symbol	Approved name	Previous symbols	Alias symbols
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106
ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1
ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P	
ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3	ABI family member 3		NESH, SSH3BP3
ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH
ABITRAM	actin binding transcription modulator	C9orf6, FAM206A	CG-8, FLJ20457, Simiate
ABITRAMP1	ABITRAM pseudogene 1	FAM206BP	
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin
ABLIM2	actin binding LIM protein family member 2		KIAA1808
ABLIM2-DT	ABLIM2 divergent transcript		
ABLIM3	actin binding LIM protein family member 3		KIAA0843
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1
ABR	ABR activator of RhoGEF and GTPase		MDB
ABR-AS1	ABR antisense RNA 1		
ABRA	actin binding Rho activating protein		STARS
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS
ABRAXAS1P1	ABRAXAS1 pseudogene 1		
ABRAXAS1P2	ABRAXAS1 pseudogene 2		
ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	Em:AC068896.4, ABRO1
ABT1	activator of basal transcription 1		Esf2
ABT1P1	activator of basal transcription 1 pseudogene 1		
ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2
ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A
ABTB3	ankyrin repeat and BTB domain containing 3	BTBD11	FLJ33957, ABTB2B
ACAA1	acetyl-CoA acyltransferase 1		Lnc-Myd88
ACAA2	acetyl-CoA acyltransferase 2		DSAEC
ACAA2P1	ACAA2 pseudogene 1		
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta
ACAD8	acyl-CoA dehydrogenase family member 8		
ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452
ACAD9-DT	ACAD9 divergent transcript		
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592
